Complaint_ID,Customer_ID,Complaint_Date,Type,Priority,Resolution_Days,Satisfaction
900001,334577,2025-06-07 04:36:56,Fraud,High,11,2
900002,337798,2025-11-16 11:48:37,Service,High,12,2
900003,321886,2023-04-13 17:38:52,Loan,High,15,4
900004,302766,2024-03-17 10:45:09,App,High,5,4
900005,312664,2023-09-27 06:59:27,Service,Medium,1,2
900006,309473,2024-06-08 15:05:32,Card,Medium,5,3
900007,329491,2025-07-20 21:59:56,App,Critical,5,3
900008,326198,2023-08-04 01:50:18,Transaction,High,5,1
900009,324197,2025-07-02 09:29:48,Loan,Critical,19,2
900010,323096,2024-03-16 11:30:33,Card,High,6,4
900011,321382,2025-06-13 20:38:53,Service,Medium,17,5
900012,301656,2024-10-08 01:35:43,Card,Critical,6,5
900013,305370,2024-03-11 08:12:11,Loan,High,2,1
900014,308253,2025-04-12 10:30:47,Loan,Medium,18,1
900015,330288,2025-11-05 07:42:33,Loan,Medium,5,4
900016,301121,2025-05-23 16:00:07,Fraud,Critical,1,2
900017,308741,2024-02-16 15:38:33,Transaction,Low,14,4
900018,339673,2025-06-19 16:46:06,Card,Low,9,5
900019,317042,2025-07-15 02:51:29,Fraud,Critical,19,5
900020,310968,2025-03-18 13:06:34,Transaction,High,12,4
900021,314374,2023-01-09 23:48:36,App,High,16,4
900022,311047,2025-06-12 07:30:25,App,Critical,12,3
900023,319148,2025-08-06 22:42:06,Loan,High,13,1
900024,331792,2023-03-15 11:51:03,Fraud,Low,10,4
900025,329926,2023-06-13 20:21:24,Service,Low,14,2
900026,318509,2023-04-24 16:43:49,Card,High,17,3
900027,305187,2023-01-23 18:42:11,Loan,Low,3,3
900028,333383,2023-07-31 12:20:07,Service,High,18,2
900029,331466,2024-09-26 20:45:52,Service,Critical,18,3
900030,335835,2025-12-17 02:07:54,Fraud,Medium,5,4
900031,317526,2024-04-06 16:30:45,App,Critical,9,2
900032,321052,2023-01-25 09:38:22,Fraud,Low,0,4
900033,325309,2023-05-30 02:19:17,Fraud,High,4,1
900034,307256,2024-03-09 06:20:50,Transaction,High,6,2
900035,328557,2025-12-29 07:16:31,Card,Critical,16,3
900036,307590,2024-05-09 10:27:06,Service,High,16,3
900037,303006,2023-01-07 02:31:28,Fraud,High,8,1
900038,316537,2025-12-21 12:31:00,Loan,Critical,2,1
900039,323882,2023-05-18 11:54:42,App,Medium,11,4
900040,338335,2024-03-09 23:18:25,App,Medium,11,1
900041,333657,2025-01-02 18:17:21,Fraud,Critical,11,4
900042,304593,2025-10-10 00:34:23,Loan,Medium,15,4
900043,311783,2023-11-22 20:14:56,Transaction,Low,0,1
900044,337123,2024-06-10 06:52:07,App,High,19,2
900045,310194,2023-12-25 22:05:54,Loan,Critical,17,4
900046,316797,2025-06-29 02:12:59,App,Low,2,1
900047,337212,2025-05-09 18:50:05,Service,Medium,6,3
900048,303465,2025-04-26 15:08:12,Service,Medium,13,4
900049,322854,2025-04-01 18:54:20,Transaction,High,17,5
900050,304109,2023-03-30 10:52:49,Service,High,15,5
900051,309194,2025-10-28 20:14:55,Loan,Critical,7,4
900052,325096,2023-01-15 07:13:56,Loan,Critical,16,5
900053,337689,2024-06-05 05:42:46,Loan,High,11,5
900054,308877,2023-08-27 05:50:42,Service,Low,0,2
900055,320571,2025-09-18 16:24:51,Transaction,Low,3,4
900056,329497,2024-07-07 11:40:37,Transaction,Medium,7,3
900057,334597,2023-01-09 18:33:08,Transaction,High,14,5
900058,312911,2023-05-16 06:14:01,Service,Low,8,2
900059,330890,2023-08-13 00:56:31,Fraud,Low,12,5
900060,311294,2024-03-28 18:06:26,Card,Low,9,3
900061,338997,2023-02-23 14:59:06,Fraud,Critical,4,4
900062,306588,2025-12-10 03:07:41,Loan,High,19,3
900063,336766,2024-10-26 13:29:28,Transaction,Low,15,5
900064,320147,2024-07-25 09:00:31,App,Low,17,4
900065,308136,2024-02-21 02:52:10,Loan,High,16,1
900066,319123,2024-12-13 18:27:43,Transaction,Critical,17,5
900067,335029,2025-07-23 06:59:35,Service,Low,18,4
900068,328491,2025-05-11 01:20:21,Loan,Low,9,2
