Customer_ID,Customer_Name,Age,Occupation,City,Annual_Income,Credit_Score
300001,Client_0,68.0,Retired,Kolkata,73303.84,604
300002,Client_1,47.0,Salaried,Pune,38702.02,695
300003,Client_2,19.0,Student,Jaipur,89351.9,691
300004,Client_3,61.0,Self Employed,Bengaluru,75511.88,769
300005,Client_4,50.0,Student,Bengaluru,68163.97,695
300006,Client_5,32.0,Student,Kolkata,91099.88,581
300007,Client_6,45.0,Retired,Pune,53075.11,803
300008,Client_7,29.0,Self Employed,Bengaluru,87319.65,762
300009,Client_8,24.0,Salaried,Mumbai,71560.29,666
300010,Client_9,51.0,Salaried,Bengaluru,67226.22,655
300011,Client_10,65.0,Business,Kolkata,58489.19,780
300012,Client_11,21.0,Student,Kolkata,123703.21,724
300013,Client_12,71.0,Salaried,Pune,115636.47,752
300014,Client_13,20.0,Salaried,Chennai,39955.98,678
300015,Client_14,47.0,Retired,Pune,134157.22,745
300016,Client_15,45.0,Salaried,Jaipur,70200.35,803
300017,Client_16,72.0,Salaried,Delhi,46319.62,744
300018,Client_17,48.0,Salaried,Mumbai,55174.33,708
300019,Client_18,18.0,Student,Delhi,29461.54,897
300020,CLIENT_19,24.0,Student,Kolkata,164678.84,801
300021,Client_20,57.0,Salaried,Pune,80789.74,661
300022,Client_21,42.0,Self Employed,Chennai,77953.76,729
300023,Client_22,65.0,Salaried,Jaipur,87990.07,589
300024,Client_23,32.0,Business,Kolkata,177124.88,728
300025,Client_24,50.0,Retired,Delhi,98029.6,628
300026,Client_25,54.0,Student,Chennai,115374.77,688
300027,Client_26,25.0,Business,Bengaluru,145748.0,720
300028,Client_27,60.0,Salaried,Kolkata,102469.12,643
300029,Client_28,48.0,Salaried,Chennai,126746.7,648
300030,Client_29,67.0,Salaried,Delhi,98625.87,657
300031,Client_30,71.0,Student,Pune,49237.85,772
300032,Client_31,72.0,Self Employed,Jaipur,30580.52,717
300033,Client_32,71.0,Business,Bengaluru,73170.9,638
300034,Client_33,71.0,Business,Delhi,27646.45,805
300035,Client_34,18.0,Retired,Kolkata,53821.57,732
300036,Client_35,39.0,Salaried,Bengaluru,65089.48,658
300037,Client_36,51.0,Salaried,Chennai,101741.69,763
300038,Client_37,36.0,Self Employed,Bengaluru,45914.31,740
300039,Client_38,74.0,Student,Bengaluru,241882.62,650
300040,Client_39,58.0,Salaried,Chennai,15127.54,728
300041,Client_40,61.0,Self Employed,Pune,87998.24,782
300042,Client_41,47.0,Student,Bengaluru,55858.26,809
300043,Client_42,38.0,Retired,Kolkata,54026.45,814
300044,Client_43,37.0,Self Employed,Bengaluru,38976.86,667
300045,Client_44,29.0,Retired,Pune,49921.8,664
300046,Client_45,37.0,Self Employed,Mumbai,69750.29,754
300047,Client_46,36.0,Student,Mumbai,103140.73,568
300048,Client_47,64.0,Business,Delhi,55863.65,775
300049,Client_48,22.0,Salaried,Kolkata,88208.23,600
300050,Client_49,69.0,Student,Jaipur,175330.14,690
300051,Client_50,39.0,Retired,Pune,117696.53,611
300052,Client_51,61.0,Retired,Jaipur,137493.29,720
300053,Client_52,75.0,Business,Mumbai,59504.65,637
300054,Client_53,18.0,Retired,Bengaluru,68057.53,772
300055,Client_54,31.0,Self Employed,Chennai,53325.59,817
300056,Client_55,60.0,Retired,Chennai,97268.25,748
300057,Client_56,50.0,Student,Kolkata,51992.6,798
300058,Client_57,34.0,Self Employed,Kolkata,62595.25,804
300059,Client_58,36.0,Salaried,Delhi,95289.34,690
300060,Client_59,61.0,Student,Chennai,94626.1,801
300061,Client_60,60.0,Self Employed,Pune,75292.49,786
300062,Client_61,41.0,Self Employed,Delhi,78032.36,691
300063,Client_62,31.0,Student,Delhi,60352.07,651
300064,Client_63,70.0,Retired,Delhi,40299.63,733
300065,Client_64,69.0,Business,Delhi,34356.95,782
300066,Client_65,74.0,Student,Mumbai,67693.98,629
300067,Client_66,23.0,Self Employed,Mumbai,68624.39,723
300068,Client_67,62.0,Student,Bengaluru,181016.19,796
300069,Client_68,61.0,Salaried,Chennai,126922.64,729
300070,Client_69,53.0,Business,Jaipur,80874.49,713
300071,Client_70,50.0,Retired,Delhi,81407.72,793
300072,Client_71,27.0,Self Employed,Bengaluru,185909.44,721
300073,Client_72,27.0,Retired,Chennai,177716.52,810
300074,Client_73,31.0,Self Employed,Bengaluru,56392.32,611
300075,Client_74,22.0,Retired,Bengaluru,169008.48,701
300076,Client_75,41.0,Business,Mumbai,88273.38,571
300077,Client_76,47.0,Student,Chennai,49158.91,735
300078,Client_77,55.0,Business,Bengaluru,55089.79,712
300079,Client_78,21.0,Salaried,Delhi,196335.65,809
300080,Client_79,23.0,Student,Chennai,78978.46,707
300081,Client_80,25.0,Self Employed,Pune,41650.09,720
300082,Client_81,23.0,Retired,Jaipur,187015.52,664
300083,Client_82,73.0,Student,Pune,56296.58,620
300084,Client_83,52.0,Retired,Mumbai,57631.66,748
300085,Client_84,49.0,Business,Kolkata,29471.26,779
300086,Client_85,59.0,Student,Jaipur,153103.23,799
300087,Client_86,33.0,Salaried,Bengaluru,145525.98,770
300088,Client_87,70.0,Retired,Pune,62017.28,664
300089,Client_88,38.0,Self Employed,Kolkata,106569.15,857
300090,Client_89,18.0,Retired,Jaipur,52574.19,673
300091,Client_90,44.0,Salaried,Pune,54112.26,730
300092,Client_91,32.0,Salaried,Kolkata,66629.95,707
300093,Client_92,73.0,Student,Delhi,69707.95,855
300094,Client_93,34.0,Business,Mumbai,41860.2,818
300095,Client_94,25.0,Salaried,Chennai,43267.91,663
300096,Client_95,30.0,Student,Chennai,166329.94,707
300097,Client_96,44.0,Business,Delhi,47233.63,655
300098,Client_97,46.0,Salaried,Chennai,92352.27,667
300099,Client_98,70.0,Student,Pune,46839.15,714
300100,Client_99,39.0,Student,Kolkata,28566.17,682
300101,Client_100,48.0,Self Employed,Kolkata,65349.41,728
300102,Client_101,35.0,Student,Mumbai,44058.9,625
300103,Client_102,57.0,Salaried,Mumbai,124179.48,668
300104,Client_103,21.0,Student,Mumbai,95325.82,765
300105,Client_104,33.0,Retired,Chennai,75143.13,698
300106,Client_105,71.0,Student,Kolkata,59404.94,598
300107,Client_106,49.0,Retired,Pune,126785.74,638
300108,Client_107,30.0,Business,Chennai,76616.87,833
300109,Client_108,49.0,Student,Pune,90538.96,727
300110,Client_109,71.0,Salaried,Pune,51193.71,703
300111,Client_110,62.0,Retired,Kolkata,24902.28,778
300112,Client_111,23.0,Business,Pune,74576.18,734
300113,Client_112,48.0,Retired,Pune,195845.77,736
300114,Client_113,21.0,Retired,Pune,237418.94,790
300115,Client_114,52.0,Retired,Pune,146687.78,741
300116,Client_115,28.0,Retired,Kolkata,28565.38,710
300117,Client_116,46.0,Retired,Mumbai,88191.05,791
300118,Client_117,26.0,Retired,Bengaluru,36192.97,773
300119,Client_118,59.0,Business,Jaipur,94519.49,607
300120,Client_119,73.0,Self Employed,Chennai,198497.05,784
300121,Client_120,75.0,Salaried,Pune,97836.23,813
300122,Client_121,57.0,Student,Mumbai,110183.84,751
300123,Client_122,29.0,Retired,Chennai,77696.17,653
300124,Client_123,42.0,Self Employed,Delhi,41079.96,668
300125,Client_124,19.0,Retired,Pune,108005.81,585
300126,Client_125,23.0,Self Employed,Bengaluru,19096.73,730
300127,Client_126,33.0,Retired,Mumbai,48296.48,717
300128,Client_127,52.0,Salaried,Delhi,23846.96,661
300129,Client_128,20.0,Salaried,Pune,32309.97,671
300130,Client_129,65.0,Salaried,Chennai,89939.68,766
300131,Client_130,61.0,Self Employed,Pune,53096.22,705
300132,Client_131,43.0,Business,Bengaluru,73979.19,813
300133,Client_132,24.0,Salaried,Pune,48066.95,748
300134,Client_133,31.0,Self Employed,Kolkata,77367.33,639
300135,Client_134,55.0,Student,Jaipur,62202.16,752
300136,Client_135,75.0,Salaried,Chennai,52503.8,728
300137,Client_136,50.0,Self Employed,Kolkata,83211.6,627
300138,Client_137,69.0,Self Employed,Chennai,44768.71,775
300139,Client_138,19.0,Self Employed,Chennai,20618.56,653
