Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Interest_Rate,Tenure_Months,Status
500001,321085.0,Auto,3677848.33,15.14,36,Active
500002,322746.0,Business,1111755.32,12.51,12,Active
500003,300546.0,Auto,7338120.1,9.03,120,Defaulted
500004,313655.0,Auto,4381952.57,16.45,120,Closed
500005,,Education,6601108.82,7.34,180,Active
500006,333480.0,Home,5554514.49,8.38,24,Closed
500007,307448.0,Auto,2663788.4,15.54,60,Active
500008,332950.0,Education,4972293.63,12.36,24,Closed
500009,337950.0,Personal,7459366.06,20.94,12,Closed
500010,311290.0,,6894890.82,11.49,120,Active
500011,333345.0,Personal,4067837.33,10.43,36,Rejected
500012,318180.0,Auto,2670714.84,10.52,48,Active
500013,327860.0,Personal,6583047.93,7.49,120,Active
500014,327976.0,Auto,4796252.78,10.54,12,Active
500015,312870.0,Business,989040.16,8.25,84,Rejected
500016,334611.0,Personal,4288935.09,20.06,48,Active
500017,338207.0,Business,5686157.28,9.54,12,Active
500018,327974.0,Education,147047.14,20.51,12,Closed
500019,331875.0,Auto,7545918.78,19.91,240,Closed
500020,305170.0,Business,1854388.18,21.56,240,Closed
500021,302803.0,Home,7398521.74,7.5,60,Rejected
500022,304151.0,Education,2014269.7,8.47,36,Closed
500023,314285.0,Auto,4683681.86,10.11,60,Closed
500024,309010.0,Home,6410440.46,12.46,240,Rejected
500025,303941.0,Auto,3373773.72,11.93,12,Rejected
500026,312914.0,Business,4784212.7,20.78,48,Rejected
500027,313223.0,Education,1278790.43,9.49,24,Defaulted
500028,313144.0,Home,5943699.92,16.72,120,Active
500029,336159.0,Auto,1208652.16,16.77,24,Active
500030,336944.0,Business,2991799.63,17.84,60,Active
500031,336746.0,Home,2851639.97,15.58,120,Closed
500032,300794.0,Education,7476990.93,10.99,48,Active
500033,305757.0,Personal,6262588.9,16.59,24,Active
500034,319259.0,Personal,5957454.49,12.21,24,Active
500035,301452.0,Personal,873908.44,8.08,240,Rejected
500036,306944.0,Auto,2577752.03,19.24,24,Closed
500037,336472.0,Education,3071588.0,21.08,60,Rejected
500038,318924.0,Business,471682.62,16.74,240,Active
500039,308357.0,Home,7580916.97,16.4,60,Closed
500040,333694.0,Personal,3056309.54,9.07,24,Rejected
500041,317610.0,Auto,915500.1,8.93,240,Closed
500042,335902.0,Business,6678918.73,17.2,48,Active
500043,303061.0,Home,3220132.54,13.57,60,Closed
500044,310750.0,Home,2433413.55,9.88,180,Closed
500045,318517.0,Personal,2037116.51,13.72,84,Active
500046,326900.0,Business,4423230.37,10.42,12,Active
500047,329002.0,Personal,3580711.29,10.75,180,Active
500048,324570.0,Personal,4753077.34,18.0,48,Closed
500049,323098.0,Business,2437840.04,18.25,180,Active
500050,336954.0,Auto,7364437.31,21.55,12,Rejected
500051,322551.0,BUSINESS,2982967.25,10.29,60,Active
500052,311642.0,Auto,2418692.7,19.22,60,Active
500053,321164.0,Education,3021120.67,11.61,36,Active
500054,305800.0,Home,6166623.87,10.49,12,Active
500055,338338.0,Education,618102.67,18.93,48,Active
500056,315245.0,Personal,3255658.48,9.83,60,Closed
500057,308710.0,Business,4049033.86,15.75,120,Closed
500058,310316.0,Home,4511507.15,10.35,24,Active
500059,311367.0,Personal,680984.57,14.81,48,Active
500060,330215.0,Auto,6961518.16,16.61,180,Closed
500061,338233.0,Personal,6561497.82,9.55,180,Closed
500062,300258.0,Personal,5661959.76,13.19,60,Closed
500063,322889.0,Personal,5960024.29,14.27,60,Rejected
500064,338354.0,Personal,153156.39,21.25,120,Active
500065,301093.0,Personal,408224.59,9.15,120,Active
500066,324509.0,Home,7177477.66,9.02,12,Rejected
500067,333474.0,Business,6556434.05,13.7,12,Active
500068,308008.0,Auto,,8.91,84,Active
500069,309637.0,Home,2448557.88,8.68,240,Defaulted
500070,310546.0,Personal,1478591.51,17.94,48,Rejected
500071,303299.0,Personal,5019011.72,7.37,36,Active
500072,337898.0,Business,5478188.8,16.12,60,Closed
500073,334786.0,Auto,4597346.98,11.08,12,Closed
500074,308673.0,Business,6096782.08,10.72,60,Active
500075,332176.0,Personal,4786222.05,17.85,120,Active
500076,300363.0,Auto,2484375.38,16.32,48,Defaulted
500077,316505.0,Home,1398580.12,20.95,84,Closed
500078,313955.0,Education,6130199.64,13.04,60,Closed
500079,334389.0,Auto,825441.59,15.91,120,Active
500080,329668.0,Personal,7237487.19,18.16,240,Active
500081,326537.0,Business,3888859.92,15.23,60,Active
500082,307674.0,Auto,2278894.97,11.18,24,Active
500083,335374.0,Home ,3067496.24,13.43,24,Defaulted
500084,304391.0,Business,6735006.63,16.25,84,Defaulted
500085,321906.0,Auto ,7264214.12,21.66,48,Defaulted
500086,322233.0,Personal,5360828.68,13.24,240,Active
500087,301159.0,Personal,5535539.79,9.49,48,Rejected
500088,339269.0,Personal,6625503.19,8.82,180,Active
500089,312971.0,Personal,4848133.16,9.63,60,Closed
500090,336947.0,Auto,1983136.58,15.76,60,Closed
500091,331123.0,Business,476372.07,17.42,48,Defaulted
500092,306819.0,Business,1323924.63,21.2,36,Active
500093,319371.0,Home,955594.09,15.08,12,Defaulted
500094,304232.0,Business,5142233.98,20.36,180,Active
500095,312150.0,Business,3497063.64,13.58,12,Rejected
500096,322221.0,Business,5676022.52,17.22,60,Active
500097,308368.0,Education,5252841.53,16.46,60,Active
500098,317189.0,Personal,7325359.92,17.26,120,Closed
500099,306120.0,Home,2853018.91,20.63,240,Closed
500100,304816.0,Home,1831086.99,19.4,48,Closed
500101,301995.0,Auto,4126615.11,12.06,24,Active
500102,308907.0,Home,395325.56,10.32,180,Active
500103,338939.0,Personal,1144207.15,13.91,36,Closed
500104,335658.0,Home,1300287.7,7.71,24,Defaulted
500105,332701.0,Education,7937862.38,16.97,48,Active
500106,303199.0,Education,4197022.33,11.73,84,Closed
500107,306041.0,Personal,597690.93,19.02,36,Active
500108,329936.0,Home,3417490.35,13.3,48,Active
500109,330100.0,Home,3085147.2,12.78,120,Defaulted
500110,302607.0,Business,4684832.68,15.1,84,Active
500111,325029.0,Education,7129272.2,20.96,36,ACTIVE
500112,301431.0,Education,6582840.34,13.24,60,Closed
500113,308874.0,Education,571989.31,16.98,48,Active
500114,326121.0,Education,4352619.16,18.41,60,Active
500115,326338.0,Business,7067241.18,9.92,24,Active
500116,300445.0,Business,4414430.24,21.46,60,ACTIVE
500117,307939.0,Business,3817152.35,17.81,48,Active
