Account_ID,Customer_ID,Account_Type,Branch,Open_Date,Balance,Status,Year,Month_Number,Month_Name,Quarter
400001,331572,Premium,Kolkata,2018-10-22 22:00:21,7096.7,Active,2018,10,October,4
400002,332584,Savings,Kolkata,2019-12-07 17:30:42,3112.36,Active,2019,12,December,4
400003,309825,Savings,Chennai,2019-04-20 10:57:51,36355.24,Dormant,2019,4,April,2
400004,321948,Current,Mumbai,2024-07-19 14:09:03,25355.77,Active,2024,7,July,3
400005,303108,Salary,Kolkata,2023-01-29 08:49:05,41067.08,Active,2023,1,January,1
400006,323918,Premium,Mumbai,2018-04-21 05:48:30,31289.44,Active,2018,4,April,2
400007,304569,Current,Bengaluru,2020-10-03 01:00:18,17709.96,Active,2020,10,October,4
400008,339893,Salary,Kolkata,2020-05-15 18:05:30,12639.09,Active,2020,5,May,2
400009,339772,Current,Kolkata,2024-05-07 17:47:34,3892.99,Active,2024,5,May,2
400010,316567,Salary,Bengaluru,2021-08-14 13:11:29,25827.85,Active,2021,8,August,3
400011,336236,Salary,Bengaluru,2018-03-17 10:52:52,2909.11,Active,2018,3,March,1
400012,317651,Savings,Kolkata,2022-10-07 16:46:20,6232.23,Active,2022,10,October,4
400013,311156,Current,Mumbai,2019-02-15 11:39:04,3961.61,Active,2019,2,February,1
400014,308281,Salary,Chennai,2022-10-11 15:28:06,44644.82,Dormant,2022,10,October,4
400015,315907,Savings,Mumbai,2022-03-10 03:28:10,2619.0,Active,2022,3,March,1
400016,325193,Salary,Kolkata,2023-09-28 01:46:03,12504.78,Active,2023,9,September,3
400017,323102,Current,Mumbai,2018-09-28 05:10:44,2516.9,Active,2018,9,September,3
400018,303212,Premium,Delhi,2024-11-24 18:58:26,5496.86,Dormant,2024,11,November,4
400019,328034,Savings,Chennai,2022-05-18 18:32:24,3818.54,Dormant,2022,5,May,2
400020,335396,Premium,Kolkata,2022-05-10 03:01:55,5590.06,Active,2022,5,May,2
400021,304925,Premium,Chennai,2021-03-31 01:29:16,17715.22,Active,2021,3,March,1
400022,338679,Premium,Chennai,2021-12-06 05:46:44,4538.54,Closed,2021,12,December,4
400023,336938,Savings,Bengaluru,2022-02-17 01:47:36,15706.93,Active,2022,2,February,1
400024,313335,Current,Bengaluru,2021-11-13 10:08:53,20378.1,Active,2021,11,November,4
400025,304204,Savings,Delhi,2021-03-23 20:15:40,24038.09,Active,2021,3,March,1
400026,327617,Premium,Mumbai,2024-01-16 02:38:23,8359.08,Active,2024,1,January,1
400027,318987,Current,Chennai,2021-09-19 12:25:39,11057.17,Active,2021,9,September,3
400028,317698,Premium,Chennai,2022-02-21 01:34:43,7440.2,Closed,2022,2,February,1
400029,330668,Savings,Chennai,2024-06-13 09:22:51,17063.32,Active,2024,6,June,2
400030,333576,Savings,Kolkata,2023-05-11 10:37:26,173478.7,Dormant,2023,5,May,2
400031,339443,Salary,Kolkata,2021-11-27 13:53:45,27934.76,Active,2021,11,November,4
400032,306767,Salary,Mumbai,2023-02-22 01:58:19,5695.94,Active,2023,2,February,1
400033,305646,Salary,Kolkata,2018-11-28 13:58:37,13065.44,Active,2018,11,November,4
400034,334524,Savings,Kolkata,2024-05-19 16:03:41,10709.03,Active,2024,5,May,2
400035,333591,Savings,Bengaluru,2023-09-26 19:36:37,18121.93,Active,2023,9,September,3
400036,330958,Salary,Kolkata,2019-11-16 13:13:41,25204.5,Active,2019,11,November,4
400037,327527,Premium,Delhi,2020-10-30 06:08:01,33259.14,Active,2020,10,October,4
400038,339586,Premium,Bengaluru,2024-10-16 00:33:34,10719.22,Active,2024,10,October,4
400039,333053,Salary,Bengaluru,2021-07-18 02:28:41,16069.29,Active,2021,7,July,3
