Customer_ID,Customer_Name,Age,Occupation,City,Annual_Income,Credit_Score,Total_Accounts,Total_Balance
300001,Client_0,68.0,Retired,Kolkata,73303.84,604,0.0,0.0
300002,Client_1,47.0,Salaried,Pune,38702.02,695,2.0,22164.0
300003,Client_2,19.0,Student,Jaipur,89351.9,691,1.0,137319.88
300004,Client_3,61.0,Self Employed,Bengaluru,75511.88,769,3.0,37451.48
300005,Client_4,50.0,Student,Bengaluru,68163.97,695,1.0,4225.13
300006,Client_5,32.0,Student,Kolkata,91099.88,581,1.0,16999.18
300007,Client_6,45.0,Retired,Pune,53075.11,803,3.0,30295.379999999997
300008,Client_7,29.0,Self Employed,Bengaluru,87319.65,762,1.0,10714.2
300009,Client_8,24.0,Salaried,Mumbai,71560.29,666,0.0,0.0
300010,Client_9,51.0,Salaried,Bengaluru,67226.22,655,0.0,0.0
300011,Client_10,65.0,Business,Kolkata,58489.19,780,0.0,0.0
300012,Client_11,21.0,Student,Kolkata,123703.21,724,0.0,0.0
300013,Client_12,71.0,Salaried,Pune,115636.47,752,1.0,20258.0
300014,Client_13,20.0,Salaried,Chennai,39955.98,678,2.0,5263.849999999999
300015,Client_14,47.0,Retired,Pune,134157.22,745,3.0,15197.920000000002
300016,Client_15,45.0,Salaried,Jaipur,70200.35,803,3.0,27736.43
300017,Client_16,72.0,Salaried,Delhi,46319.62,744,1.0,4429.72
300018,Client_17,48.0,Salaried,Mumbai,55174.33,708,1.0,15005.55
300019,Client_18,18.0,Student,Delhi,29461.54,897,0.0,0.0
300020,CLIENT_19,24.0,Student,Kolkata,164678.84,801,1.0,12000.41
300021,Client_20,57.0,Salaried,Pune,80789.74,661,1.0,4922.28
300022,Client_21,42.0,Self Employed,Chennai,77953.76,729,1.0,1056.36
300023,Client_22,65.0,Salaried,Jaipur,87990.07,589,0.0,0.0
300024,Client_23,32.0,Business,Kolkata,177124.88,728,1.0,20509.5
300025,Client_24,50.0,Retired,Delhi,98029.6,628,1.0,17913.99
300026,Client_25,54.0,Student,Chennai,115374.77,688,1.0,6296.44
300027,Client_26,25.0,Business,Bengaluru,145748.0,720,0.0,0.0
300028,Client_27,60.0,Salaried,Kolkata,102469.12,643,1.0,4839.04
300029,Client_28,48.0,Salaried,Chennai,126746.7,648,2.0,23373.969999999998
300030,Client_29,67.0,Salaried,Delhi,98625.87,657,0.0,0.0
300031,Client_30,71.0,Student,Pune,49237.85,772,2.0,4617.469999999999
300032,Client_31,72.0,Self Employed,Jaipur,30580.52,717,0.0,0.0
300033,Client_32,71.0,Business,Bengaluru,73170.9,638,3.0,15298.759999999998
300034,Client_33,71.0,Business,Delhi,27646.45,805,1.0,16210.3
300035,Client_34,18.0,Retired,Kolkata,53821.57,732,0.0,0.0
300036,Client_35,39.0,Salaried,Bengaluru,65089.48,658,1.0,1992.97
300037,Client_36,51.0,Salaried,Chennai,101741.69,763,3.0,29048.33
300038,Client_37,36.0,Self Employed,Bengaluru,45914.31,740,3.0,35428.85
300039,Client_38,74.0,Student,Bengaluru,241882.62,650,1.0,6361.06
300040,Client_39,58.0,Salaried,Chennai,15127.54,728,2.0,77752.84
300041,Client_40,61.0,Self Employed,Pune,87998.24,782,2.0,77890.73
300042,Client_41,47.0,Student,Bengaluru,55858.26,809,0.0,0.0
300043,Client_42,38.0,Retired,Kolkata,54026.45,814,0.0,0.0
300044,Client_43,37.0,Self Employed,Bengaluru,38976.86,667,2.0,38492.92
300045,Client_44,29.0,Retired,Pune,49921.8,664,2.0,18369.25
300046,Client_45,37.0,Self Employed,Mumbai,69750.29,754,3.0,47870.78
300047,Client_46,36.0,Student,Mumbai,103140.73,568,1.0,14636.76
300048,Client_47,64.0,Business,Delhi,55863.65,775,0.0,0.0
300049,Client_48,22.0,Salaried,Kolkata,88208.23,600,1.0,7332.17
300050,Client_49,69.0,Student,Jaipur,175330.14,690,1.0,18283.18
300051,Client_50,39.0,Retired,Pune,117696.53,611,2.0,18825.07
300052,Client_51,61.0,Retired,Jaipur,137493.29,720,1.0,2169.26
300053,Client_52,75.0,Business,Mumbai,59504.65,637,2.0,33334.78
300054,Client_53,18.0,Retired,Bengaluru,68057.53,772,2.0,4624.01
300055,Client_54,31.0,Self Employed,Chennai,53325.59,817,1.0,12532.27
300056,Client_55,60.0,Retired,Chennai,97268.25,748,1.0,25572.07
300057,Client_56,50.0,Student,Kolkata,51992.6,798,0.0,0.0
300058,Client_57,34.0,Self Employed,Kolkata,62595.25,804,2.0,26970.43
300059,Client_58,36.0,Salaried,Delhi,95289.34,690,2.0,36044.26
300060,Client_59,61.0,Student,Chennai,94626.1,801,0.0,0.0
300061,Client_60,60.0,Self Employed,Pune,75292.49,786,1.0,13889.02
300062,Client_61,41.0,Self Employed,Delhi,78032.36,691,2.0,34238.59
300063,Client_62,31.0,Student,Delhi,60352.07,651,0.0,0.0
300064,Client_63,70.0,Retired,Delhi,40299.63,733,1.0,25481.52
300065,Client_64,69.0,Business,Delhi,34356.95,782,1.0,6674.91
300066,Client_65,74.0,Student,Mumbai,67693.98,629,1.0,13759.05
300067,Client_66,23.0,Self Employed,Mumbai,68624.39,723,1.0,7535.17
300068,Client_67,62.0,Student,Bengaluru,181016.19,796,2.0,7093.4400000000005
300069,Client_68,61.0,Salaried,Chennai,126922.64,729,2.0,8637.23
300070,Client_69,53.0,Business,Jaipur,80874.49,713,2.0,21880.29
300071,Client_70,50.0,Retired,Delhi,81407.72,793,2.0,81558.39000000001
300072,Client_71,27.0,Self Employed,Bengaluru,185909.44,721,1.0,9780.79
300073,Client_72,27.0,Retired,Chennai,177716.52,810,3.0,50426.619999999995
300074,Client_73,31.0,Self Employed,Bengaluru,56392.32,611,1.0,9890.03
300075,Client_74,22.0,Retired,Bengaluru,169008.48,701,1.0,25195.15
300076,Client_75,41.0,Business,Mumbai,88273.38,571,0.0,0.0
