Fraud_Case_ID,Transaction_ID,Fraud_Flag,Risk_Score,Detection_Method,Case_Status
2000001,10254170,0,0.063,Rule,Closed
2000002,10103616,1,0.069,ML Model,Confirmed
2000003,10236236,0,0.063,Rule,Closed
2000004,10125137,0,0.683,Manual,Confirmed
2000005,10249691,0,0.69,Rule,Confirmed
2000006,10277016,1,0.871,Manual,Closed
2000007,10195087,0,0.562,Rule,Open
2000008,10059830,0,0.415,Manual,Closed
2000009,10270406,0,0.241,Manual,Closed
2000010,10017009,0,0.558,Rule,Confirmed
2000011,10262966,0,0.055,Manual,Closed
2000012,10348908,0,0.573,ML Model,Confirmed
2000013,10243853,0,0.748,Manual,False Positive
2000014,10201713,0,0.846,Manual,Closed
2000015,10217797,0,0.084,ML Model,False Positive
2000016,10234738,0,0.147,ML Model,Confirmed
2000017,10260735,0,0.623,Rule,Open
2000018,10158079,0,0.312,Manual,Open
2000019,10241333,0,0.116,Manual,Open
2000020,10268258,0,0.224,ML Model,Confirmed
2000021,10368703,0,0.344,Rule,Open
2000022,10289956,0,0.159,Manual,Closed
2000023,10312841,0,0.309,ML Model,Open
2000024,10360436,0,0.192,Rule,Open
2000025,10003815,0,0.572,ML Model,False Positive
2000026,10315152,1,0.091,Manual,Confirmed
2000027,10111910,0,0.259,Manual,Open
2000028,10095465,0,0.02,Rule,False Positive
2000029,10296113,0,0.528,ML Model,Open
2000030,10031632,0,0.358,ML Model,Closed
2000031,10265028,0,0.165,Manual,Confirmed
2000032,10022767,0,0.406,Rule,Closed
2000033,10170282,0,0.109,ML Model,Open
2000034,10382488,0,0.528,Rule,Confirmed
2000035,10303064,0,0.463,Rule,Open
2000036,10353540,0,0.073,Rule,False Positive
2000037,10063657,0,0.413,Manual,False Positive
2000038,10053793,1,0.238,ML Model,False Positive
2000039,10127245,1,0.747,Rule,Open
2000040,10047854,0,0.867,Rule,Open
2000041,10245891,0,0.328,ML Model,Open
2000042,10007424,0,0.159,Rule,False Positive
2000043,10338197,0,0.347,Manual,False Positive
2000044,10022365,1,0.288,Manual,Open
2000045,10298400,0,0.939,Manual,Closed
2000046,10172048,0,0.447,Rule,Closed
2000047,10110397,0,0.239,ML Model,False Positive
2000048,10229153,0,0.64,Rule,Open
2000049,10302136,0,0.979,Manual,Closed
2000050,10081092,0,0.378,ML Model,False Positive
2000051,10249351,0,0.255,ML Model,Open
2000052,10147312,0,0.64,Manual,Confirmed
2000053,10374956,0,0.37,Rule,Confirmed
2000054,10006615,0,0.907,ML Model,False Positive
2000055,10123584,0,0.765,Rule,Confirmed
2000056,10107874,0,0.516,ML Model,False Positive
2000057,10273763,0,0.922,Rule,Closed
2000058,10197511,0,0.475,Manual,Closed
2000059,10397173,0,0.059,Manual,Closed
2000060,10397525,1,0.691,ML Model,Confirmed
2000061,10288980,0,0.414,ML Model,False Positive
2000062,10286897,0,0.033,Rule,False Positive
2000063,10027109,0,0.749,ML Model,False Positive
2000064,10335043,0,0.837,Rule,Confirmed
2000065,10206945,0,0.413,Manual,Closed
2000066,10196629,0,0.415,ML Model,Closed
2000067,10076868,0,0.759,ML Model,Open
2000068,10100456,0,0.884,Rule,Confirmed
2000069,10104372,0,0.734,Manual,Closed
2000070,10317541,0,0.708,Manual,Open
2000071,10064366,0,0.669,Rule,Open
2000072,10125312,1,0.233,Rule,False Positive
2000073,10352718,0,0.64,Manual,False Positive
2000074,10132124,0,0.173,Manual,Confirmed
2000075,10363840,0,0.512,ML Model,Closed
2000076,10271448,0,0.168,Rule,Open
2000077,10255912,0,0.192,Rule,False Positive
2000078,10001260,0,0.699,Manual,Open
2000079,10329363,0,0.723,ML Model,Confirmed
2000080,10087084,0,0.763,ML Model,Closed
2000081,10348993,0,0.652,ML Model,False Positive
2000082,10348357,0,0.518,Manual,Open
2000083,10184993,0,0.934,ML Model,Open
2000084,10188617,0,0.853,Rule,Closed
2000085,10202210,0,0.887,Manual,Open
2000086,10124058,0,0.325,Manual,Confirmed
2000087,10117919,0,0.513,Manual,Confirmed
2000088,10325281,0,0.095,Manual,Confirmed
2000089,10312480,0,0.131,ML Model,False Positive
2000090,10010976,0,0.318,ML Model,Closed
2000091,10265658,1,0.02,Rule,Closed
2000092,10091714,0,0.362,Rule,False Positive
2000093,10251428,0,0.247,Rule,Confirmed
2000094,10323600,1,0.981,Manual,Open
2000095,10149997,0,0.155,Manual,False Positive
2000096,10357467,1,0.846,ML Model,Confirmed
2000097,10057947,0,0.927,ML Model,False Positive
2000098,10163253,0,0.943,Manual,Open
2000099,10029641,0,0.764,Manual,Closed
2000100,10269617,1,0.759,ML Model,Confirmed
2000101,10049344,0,0.002,ML Model,Closed
2000102,10394056,0,0.783,Rule,Closed
2000103,10197882,0,0.042,Rule,Open
2000104,10180018,0,0.274,Manual,False Positive
2000105,10365848,0,0.6,ML Model,Open
2000106,10183908,0,0.832,Rule,Open
2000107,10112468,0,0.293,ML Model,False Positive
