Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Interest_Rate,Tenure_Months,Status,Estimated_Interest
500001,321085,Auto,3677848.33,15.14,36,Active,1670478.711486
500002,322746,Business,1111755.32,12.51,12,Active,139080.590532
500003,300546,Auto,7338120.1,9.03,120,Defaulted,6626322.450299999
500004,313655,Auto,4381952.57,16.45,120,Closed,7208311.97765
500006,333480,Home,5554514.49,8.38,24,Closed,930936.6285240002
500007,307448,Auto,2663788.4,15.54,60,Active,2069763.5867999997
500008,332950,Education,4972293.63,12.36,24,Closed,1229150.9853359999
500009,337950,Personal,7459366.06,20.94,12,Closed,1561991.252964
500010,311290,Undefined,6894890.82,11.49,120,Active,7922229.5521800015
500011,333345,Personal,4067837.33,10.43,36,Rejected,1272826.300557
500012,318180,Auto,2670714.84,10.52,48,Active,1123836.804672
500013,327860,Personal,6583047.93,7.49,120,Active,4930702.89957
500014,327976,Auto,4796252.78,10.54,12,Active,505525.043012
500015,312870,Business,989040.16,8.25,84,Rejected,571170.6924
500016,334611,Personal,4288935.09,20.06,48,Active,3441441.516216
500017,338207,Business,5686157.28,9.54,12,Active,542459.4045119999
500018,327974,Education,147047.14,20.51,12,Closed,30159.368414000004
500019,331875,Auto,7545918.78,19.91,240,Closed,30047848.58196
500020,305170,Business,1854388.18,21.56,240,Closed,7996121.83216
500021,302803,Home,7398521.74,7.5,60,Rejected,2774445.6525
500022,304151,Education,2014269.7,8.47,36,Closed,511825.9307700001
500023,314285,Auto,4683681.86,10.11,60,Closed,2367601.18023
500024,309010,Home,6410440.46,12.46,240,Rejected,15974817.62632
500025,303941,Auto,3373773.72,11.93,12,Rejected,402491.20479600003
500026,312914,Business,4784212.7,20.78,48,Rejected,3976637.5962400003
500027,313223,Education,1278790.43,9.49,24,Defaulted,242714.42361399997
500028,313144,Home,5943699.92,16.72,120,Active,9937866.266239999
500029,336159,Auto,1208652.16,16.77,24,Active,405381.93446399993
500030,336944,Business,2991799.63,17.84,60,Active,2668685.2699599997
500031,336746,Home,2851639.97,15.58,120,Closed,4442855.07326
500032,300794,Education,7476990.93,10.99,48,Active,3286885.2128279996
500033,305757,Personal,6262588.9,16.59,24,Active,2077926.9970200001
500034,319259,Personal,5957454.49,12.21,24,Active,1454810.3864580002
500035,301452,Personal,873908.44,8.08,240,Rejected,1412236.03904
500036,306944,Auto,2577752.03,19.24,24,Closed,991918.9811439998
500037,336472,Education,3071588.0,21.08,60,Rejected,3237453.7520000003
500038,318924,Business,471682.62,16.74,240,Active,1579193.4117599998
500039,308357,Home,7580916.97,16.4,60,Closed,6216351.915399999
500040,333694,Personal,3056309.54,9.07,24,Rejected,554414.550556
500041,317610,Auto,915500.1,8.93,240,Closed,1635083.1785999998
500042,335902,Business,6678918.73,17.2,48,Active,4595096.08624
500043,303061,Home,3220132.54,13.57,60,Closed,2184859.92839
500044,310750,Home,2433413.55,9.88,180,Closed,3606318.8811000003
500045,318517,Personal,2037116.51,13.72,84,Active,1956446.6962040002
500046,326900,Business,4423230.37,10.42,12,Active,460900.604554
500047,329002,Personal,3580711.29,10.75,180,Active,5773896.955125
500048,324570,Personal,4753077.34,18.0,48,Closed,3422215.6848
500049,323098,Business,2437840.04,18.25,180,Active,6673587.1095
500050,336954,Auto,7364437.31,21.55,12,Rejected,1587036.240305
500051,322551,Business,2982967.25,10.29,60,Active,1534736.650125
500052,311642,Auto,2418692.7,19.22,60,Active,2324363.6847
500053,321164,Education,3021120.67,11.61,36,Active,1052256.329361
500054,305800,Home,6166623.87,10.49,12,Active,646878.8439630001
500055,338338,Education,618102.67,18.93,48,Active,468027.341724
500056,315245,Personal,3255658.48,9.83,60,Closed,1600156.1429199998
500057,308710,Business,4049033.86,15.75,120,Closed,6377228.329499999
500058,310316,Home,4511507.15,10.35,24,Active,933881.98005
500059,311367,Personal,680984.57,14.81,48,Active,403415.259268
500060,330215,Auto,6961518.16,16.61,180,Closed,17344622.495640002
500061,338233,Personal,6561497.82,9.55,180,Closed,9399345.627150001
500062,300258,Personal,5661959.76,13.19,60,Closed,3734062.4617199996
500063,322889,Personal,5960024.29,14.27,60,Rejected,4252477.330915
500064,338354,Personal,153156.39,21.25,120,Active,325457.32875
500065,301093,Personal,408224.59,9.15,120,Active,373525.49985
500066,324509,Home,7177477.66,9.02,12,Rejected,647408.484932
500067,333474,Business,6556434.05,13.7,12,Active,898231.4648499999
500068,308008,Auto,4005291.125,8.91,84,Active,2498100.0746625
500069,309637,Home,2448557.88,8.68,240,Defaulted,4250696.47968
500070,310546,Personal,1478591.51,17.94,48,Rejected,1061037.267576
500071,303299,Personal,5019011.72,7.37,36,Active,1109703.491292
500072,337898,Business,5478188.8,16.12,60,Closed,4415420.172800001
500073,334786,Auto,4597346.98,11.08,12,Closed,509386.04538400006
500074,308673,Business,6096782.08,10.72,60,Active,3267875.1948800003
500075,332176,Personal,4786222.05,17.85,120,Active,8543406.359250002
500076,300363,Auto,2484375.38,16.32,48,Defaulted,1621800.2480640002
500077,316505,Home,1398580.12,20.95,84,Closed,2051017.74598
500078,313955,Education,6130199.64,13.04,60,Closed,3996890.1652799994
500079,334389,Auto,825441.59,15.91,120,Active,1313277.5696899998
500080,329668,Personal,7237487.19,18.16,240,Active,26286553.474080004
500081,326537,Business,3888859.92,15.23,60,Active,2961366.8290799996
500082,307674,Auto,2278894.97,11.18,24,Active,509560.91529200005
500083,335374,Home,3067496.24,13.43,24,Defaulted,823929.4900640001
500084,304391,Business,6735006.63,16.25,84,Defaulted,7661070.041625001
500085,321906,Auto,7264214.12,21.66,48,Defaulted,6293715.1135680005
500086,322233,Personal,5360828.68,13.24,240,Active,14195474.344639998
500087,301159,Personal,5535539.79,9.49,48,Rejected,2101290.904284
500088,339269,Personal,6625503.19,8.82,180,Active,8765540.72037
500089,312971,Personal,4848133.16,9.63,60,Closed,2334376.1165400003
500090,336947,Auto,1983136.58,15.76,60,Closed,1562711.62504
500091,331123,Business,476372.07,17.42,48,Defaulted,331936.05837600003
500092,306819,Business,1323924.63,21.2,36,Active,842016.0646799998
500093,319371,Home,955594.09,15.08,12,Defaulted,144103.588772
500094,304232,Business,5142233.98,20.36,180,Active,15704382.574920002
500095,312150,Business,3497063.64,13.58,12,Rejected,474901.242312
500096,322221,Business,5676022.52,17.22,60,Active,4887055.389719999
500097,308368,Education,5252841.53,16.46,60,Active,4323088.57919
500098,317189,Personal,7325359.92,17.26,120,Closed,12643571.22192
500099,306120,Home,2853018.91,20.63,240,Closed,11771556.022659998
500100,304816,Home,1831086.99,19.4,48,Closed,1420923.50424
500101,301995,Auto,4126615.11,12.06,24,Active,995339.564532
500102,308907,Home,395325.56,10.32,180,Active,611963.96688
500103,338939,Personal,1144207.15,13.91,36,Closed,477477.643695
500104,335658,Home,1300287.7,7.71,24,Defaulted,200504.36334
500105,332701,Education,7937862.38,16.97,48,Active,5388220.9835439995
500106,303199,Education,4197022.33,11.73,84,Closed,3446175.035163
500107,306041,Personal,597690.93,19.02,36,Active,341042.444658
500108,329936,Home,3417490.35,13.3,48,Active,1818104.8662
500109,330100,Home,3085147.2,12.78,120,Defaulted,3942818.1216
500110,302607,Business,4684832.68,15.1,84,Active,4951868.142759999
500111,325029,Education,7129272.2,20.96,36,Active,4482886.35936
500112,301431,Education,6582840.34,13.24,60,Closed,4357840.305079999
500113,308874,Education,571989.31,16.98,48,Active,388495.139352
500114,326121,Education,4352619.16,18.41,60,Active,4006585.93678
500115,326338,Business,7067241.18,9.92,24,Active,1402140.6501119998
500116,300445,Business,4414430.24,21.46,60,Active,4736683.647520001
500117,307939,Business,3817152.35,17.81,48,Active,2719339.33414
500118,337874,Education,1465142.25,16.15,180,Active,3549307.1006249995
500119,306341,Education,6666819.04,7.5,12,Active,500011.42799999996
500120,331372,Home,1001351.73,13.65,36,Defaulted,410053.533435
500121,306673,Personal,3824678.33,18.17,48,Active,2779776.2102440004
500122,328262,Auto,7688265.22,14.49,60,Rejected,5570148.15189
500123,300776,Home,670771.0,18.63,180,Active,1874469.5595
500124,317887,Business,1830645.58,17.75,180,Active,4874093.85675
500125,320758,Education,7570172.08,11.88,84,Active,6295355.101728001
500126,336902,Home,2998343.4,21.95,36,Active,1974409.1289
500127,305994,Personal,1549667.62,13.83,120,Rejected,2143190.31846
500128,300839,Home,2537119.49,17.48,36,Defaulted,1330465.4605560002
500129,339603,Personal,4128544.8,11.3,120,Active,4665255.624
500130,327360,Personal,5846136.51,12.66,12,Closed,740120.882166
500131,304881,Education,6816328.19,18.29,84,Defaulted,8726944.981656998
500132,317959,Business,7372679.03,8.82,48,Active,2601081.161784
500133,331490,Auto,1721115.41,14.14,120,Active,2433657.18974
